title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max,role,country
"Manager, Developer Marketing - Data Science",NVIDIA,"Santa Clara, California, United States",onsite,fulltime,,226000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Marketing,datasciencejobs,https://datasciencejobs.com/jobs/manager-data-science-nvidia-united-states-9/,176000.0,276000.0,Data Scientist,United States
Data Scientist,Sky,"Milan, , Italy",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-sky-italy-4/,,,Data Scientist,Italy
"Senior Data Scientist, Programmatic Ads",Pinterest,"Seattle, Washington, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-pinterest-united-states-24/,,,Data Scientist,United States
Senior NLP Data Scientist,rinf.tech,", , United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,senior,Masters in <field>,datasciencejobs,https://datasciencejobs.com/jobs/senior-nlp-data-scientist-rinftech-united-states-1/,,,Data Scientist,United States
Senior Data Scientist,GSK,"Brentford, , United Kingdom",onsite,fulltime,,,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-gsk-united-kingdom-1/,,,Data Scientist,United Kingdom
Manager of Data Science,Niagara Bottling,"Diamond Bar, California, United States",onsite,fulltime,,157151.5,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/manager-of-data-science-niagara-bottling-united-states-1/,128287.0,186016.0,Data Scientist,United States
"Data Science Manager, Growth Analytics",Moloco,"Redwood City, California, United States",onsite,fulltime,,250200.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-manager-moloco-united-states-1/,200160.0,300240.0,Data Analyst,United States
Data Scientist,PDF Solutions,"Santa Clara, California, United States",onsite,fulltime,,140000.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-pdf-solutions-united-states-1/,120000.0,160000.0,Data Scientist,United States
"Data Scientist V, Marketplaces Personalization",ID.me,"McLean, Virginia, United States",onsite,fulltime,,169000.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-v-idme-united-states-1/,140000.0,198000.0,Data Scientist,United States
Data Science Lead Analyst,Citi,"New Castle, Delaware, United States",onsite,fulltime,,141476.0,2026-03-09 00:00:00+00:00,lead,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-lead-analyst-citi-united-states-5/,141476.0,141476.0,Data Scientist,United States
Computer Vision Data Scientist,Apple,"Cupertino, California, United States",onsite,fulltime,,186900.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/computer-vision-data-scientist-apple-united-states-26/,132300.0,241500.0,Data Scientist,United States
Data Scientist,Inspire,"Atlanta, Georgia, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-inspire-united-states-1/,,,Data Scientist,United States
Data Scientist,Verizon,"Bedminster, New Jersey, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-verizon-united-states-12/,,,Data Scientist,United States
Principal Data Science,Discover Financial Services,"Houston, Texas, United States",onsite,fulltime,,151900.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-data-science-discover-financial-services-united-states-3/,126500.0,177300.0,Data Scientist,United States
Data Scientist,Caterpillar Inc.,"Morton, Illinois, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-caterpillar-inc-united-states-6/,,,Data Scientist,United States
Senior Consultant - Data scientist,AstraZeneca,"Chennai, Tamil Nadu, India",onsite,fulltime,,,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-consultant-data-scientist-astrazeneca-india-5/,,,Data Scientist,India
Data Science Capability Lead,AstraZeneca,"Barcelona, Catalonia, Spain",onsite,fulltime,,,2026-03-09 00:00:00+00:00,lead,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-capability-lead-astrazeneca-spain-4/,,,Data Scientist,Spain
Data Scientist,Bank of England,"London, , United Kingdom",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-bank-of-england-uk-2/,,,Data Scientist,United Kingdom
Senior Data Scientist - Surgical Intelligence,Carlsmed,"Carlsbad, California, United States",onsite,fulltime,,155000.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-carlsmed-united-states-1/,140000.0,170000.0,Data Scientist,United States
